src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
1,81
1,82
1,7
1,75
1,72
1,78
1,0
1,76
1,69
1,71
1,79
1,90
1,73
1,77
1,89
1,88
1,84
1,85
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
1,100
1,101
1,102
1,103
1,104
2,115
2,114
2,0
2,116
2,61
2,112
2,113
2,70
2,117
2,108
2,118
2,119
2,120
2,121
2,122
2,123
2,124
2,125
2,126
3,6
3,27
3,89
3,128
3,132
3,111
3,133
3,135
3,138
3,137
3,130
3,136
3,134
3,131
3,140
3,184
3,263
3,412
3,620
3,1060
3,1064
3,1125
3,1887
3,2105
3,2507
3,2602
3,2820
3,2884
3,2975
3,3573
3,3531
3,4843
3,18905
4,8
4,224
4,0
4,10
4,168
4,15
4,217
4,223
4,218
4,222
4,192
4,243
4,245
5,201
5,156
5,0
5,419
5,408
5,351
5,10
5,402
5,282
5,420
5,18
5,361
5,202
5,362
5,63
5,165
5,488
5,92
6,3
6,8
6,9
6,29
6,19
6,781
6,409
6,715
6,740
6,820
6,757
6,396
6,139
6,505
6,433
6,542
6,212
6,0
6,662
6,243
6,198
6,788
6,789
6,147
6,152
6,732
6,700
6,738
6,755
6,803
6,140
6,108
6,24
6,769
6,18
6,751
6,227
6,771
6,558
6,565
6,733
6,156
6,756
6,399
6,658
6,750
6,784
6,952
6,953
6,966
6,112
6,967
6,637
6,985
6,986
6,987
6,988
6,989
6,997
6,998
6,92
7,1
7,40
7,32
7,42
7,108
7,221
7,230
7,265
7,252
7,274
7,452
7,538
7,695
7,658
7,837
7,918
7,977
7,1196
7,1218
7,1224
7,1226
7,1243
7,1216
7,1217
7,1228
7,1246
7,1229
7,1256
7,1284
7,1301
7,1241
7,1261
7,1242
7,1316
7,1322
7,1318
7,1344
7,1303
7,1345
7,1305
7,1321
7,1346
7,1340
7,1342
7,1531
7,1549
7,1533
7,2275
7,2428
7,2427
7,2613
7,2889
7,3179
7,5634
8,4
8,9
8,220
8,63
8,0
8,6
8,110
8,61
8,15
8,219
8,221
8,229
8,230
8,231
8,32
8,235
8,236
8,77
8,160
8,237
8,155
8,238
8,209
8,246
8,247
8,5
8,208
8,257
9,4
9,8
9,6
9,165
9,220
9,319
9,334
9,318
9,344
9,1276
9,2042
9,2235
9,4307
10,4
10,5
10,29
10,19
10,28
10,66
10,86
10,118
10,165
10,169
10,173
10,204
10,201
10,248
10,217
10,282
10,362
10,408
10,402
10,420
10,419
10,444
10,403
10,503
10,543
10,558
10,675
10,695
10,694
10,696
10,711
10,676
10,712
10,713
10,769
10,793
10,797
10,784
10,795
10,918
10,919
10,965
10,967
10,1014
11,14
11,10
11,32
11,483
11,1181
11,1182
11,1183
11,1184
11,1185
11,1186
11,1211
11,1212
11,0
11,1214
11,1247
11,860
11,1248
11,1249
11,1250
11,1251
11,721
11,1270
11,443
11,1295
11,1296
11,1297
11,1298
11,1238
11,1317
11,1319
11,1320
11,1323
11,1348
11,1358
11,1403
11,1407
11,1408
11,1409
11,1410
11,1411
11,1417
11,1418
11,421
11,1419
11,228
11,1420
11,1421
11,1422
11,1423
11,1429
11,400
11,1430
11,1431
11,1435
11,1046
11,484
11,1436
11,1437
11,1438
11,1449
11,1450
11,1451
11,1452
11,453
11,1459
11,1478
11,1479
11,1480
11,1481
11,1482
11,863
11,1488
11,1489
11,1490
11,1497
11,1498
11,1514
11,534
11,1521
11,1522
11,1576
11,1577
11,1587
11,536
11,1588
11,1589
11,1590
11,71
11,475
11,1607
11,1608
11,1619
11,1620
11,1621
11,1622
11,1623
11,435
11,110
11,1628
11,1629
11,1630
11,1631
11,1632
11,791
11,445
11,1633
11,1648
11,1654
11,1656
11,1188
11,1237
11,339
11,1675
11,1676
11,1677
11,1678
11,424
11,1692
11,1693
11,1697
11,1698
11,307
11,1709
11,425
11,460
11,1710
11,1720
11,1721
11,1722
11,1345
11,1723
11,1724
11,1750
11,1733
11,1751
11,96
11,76
11,1768
11,1769
11,1770
11,1771
11,1773
11,1933
11,393
11,1934
11,1948
11,1949
11,1959
11,1960
11,1976
11,1975
11,1977
11,236
11,1646
11,1689
11,1996
11,1997
11,248
11,1998
11,1414
11,952
11,2001
11,2010
11,2011
11,2012
11,2013
11,2014
11,2015
11,78
11,2031
11,2032
11,2033
11,2034
11,2045
11,2046
11,1091
11,2047
11,1898
11,2061
11,310
11,2063
11,2064
11,2065
11,2066
11,1805
11,1326
11,2082
11,2083
11,2088
11,2089
11,2090
11,2091
11,1219
11,313
11,2119
11,2120
11,2121
11,2122
11,2123
11,2124
11,2133
11,2134
11,2135
11,2136
11,2137
11,2138
11,485
11,1179
11,2151
11,2152
11,2154
11,2155
11,2156
11,2158
11,1831
11,2159
11,2160
11,2161
11,2171
11,2172
11,1325
11,2173
11,2174
11,2175
11,2176
11,327
11,2188
11,2189
11,2178
11,2196
11,2197
11,1757
11,2198
11,94
12,22
12,88
12,175
12,217
12,260
12,259
12,77
12,242
12,61
12,0
12,63
12,249
12,155
12,183
12,234
12,232
12,181
12,238
12,24
12,273
12,25
12,23
12,322
12,323
12,324
12,325
12,338
12,339
12,340
12,353
13,240
13,537
13,88
13,549
13,655
13,352
13,0
13,659
13,658
13,621
14,228
14,250
14,0
14,241
14,244
14,240
14,239
14,288
14,289
15,8
15,4
15,92
15,351
15,168
15,169
15,213
15,147
15,356
15,66
15,352
15,355
15,0
15,397
15,398
15,192
15,230
15,175
16,481
16,0
16,459
16,496
16,518
16,497
16,470
16,417
16,337
16,460
17,19
17,211
17,239
17,436
17,738
17,793
17,981
17,1006
17,1007
17,1076
17,1077
17,1023
17,1078
17,1049
17,1079
17,3217
17,3730
18,5
18,6
18,360
18,1209
18,231
18,1120
18,409
18,419
18,1264
18,1276
18,0
18,514
18,201
18,512
18,1205
18,1121
18,791
18,402
18,795
18,1180
18,440
18,1122
18,945
18,282
18,511
18,1260
18,61
18,573
18,871
18,1210
18,1123
18,1258
18,1240
18,1237
18,1223
18,1141
18,1206
18,324
18,731
18,1207
18,1208
18,1179
18,1222
18,1178
18,716
18,1136
18,286
18,405
18,1147
18,394
18,340
19,61
19,372
19,367
19,487
19,441
19,10
19,231
19,444
19,510
19,512
19,513
19,447
19,455
19,485
19,584
19,515
20,295
20,256
20,187
20,262
20,286
20,263
20,296
20,304
20,297
20,337
20,261
20,184
20,293
20,181
20,363
20,327
20,366
20,367
20,368
20,369
20,370
20,371
21,8
21,23
21,60
21,822
21,835
21,198
21,775
21,228
21,388
21,24
21,365
21,28
22,12
22,24
22,373
23,12
23,21
23,865
23,200
23,903
23,242
23,920
23,918
23,797
23,886
23,895
23,926
23,896
23,919
23,897
23,223
23,211
23,248
23,637
23,418
23,327
23,420
24,12
24,22
24,6
24,21
24,69
24,104
